Delivery_person_Age,Delivery_person_Ratings,Order_Date,Weatherconditions,Road_traffic_density,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken(min),Distance_km,Is_Weekend,Prep_Time_min
23,4.8,2022-03-16,Windy,0,Meal ,motorcycle,0,0,Metropolitian,17,19.879870677373702,0,10.0
25,4.6,2022-03-01,Stormy,0,Snack ,motorcycle,1,0,Urban,15,1.5580833985948437,0,15.0
24,4.3,2022-03-15,Sandstorms,0,Meal ,motorcycle,0,0,Urban,19,3.025332706173566,0,15.0
27,4.6,2022-03-04,Sandstorms,3,Buffet ,motorcycle,1,0,Metropolitian,29,13.97194896017493,0,15.0
23,4.8,2022-03-18,Cloudy,0,Snack ,scooter,1,0,Urban,22,16.83090555193196,0,5.0
21,4.3,2022-03-23,Fog,3,Drinks ,scooter,0,0,Metropolitian,42,20.207797933358158,0,10.0
27,4.7,2022-03-15,Sandstorms,0,Snack ,scooter,0,0,Urban,12,3.040641621538495,0,15.0
32,4.2,2022-03-08,Cloudy,3,Snack ,motorcycle,1,0,Metropolitian,38,20.253785359470783,0,10.0
25,4.6,2022-03-10,Sunny,0,Drinks ,motorcycle,1,0,Metropolitian,23,16.72129600980331,0,15.0
39,4.7,2022-02-11,Cloudy,0,Meal ,scooter,0,0,Metropolitian,15,2.9845507897866907,0,15.0
27,4.6,2022-03-14,Sunny,0,Snack ,motorcycle,1,0,Metropolitian,24,12.161450531436758,0,5.0
39,3.8,2022-03-16,Windy,3,Drinks ,motorcycle,0,0,Metropolitian,37,16.822155609317257,0,5.0
31,4.8,2022-03-01,Sandstorms,0,Snack ,scooter,0,0,Metropolitian,24,7.762556904358442,0,10.0
31,4.8,2022-03-01,Sunny,0,Buffet ,electric_scooter,0,0,Metropolitian,13,9.055855161965923,0,5.0
20,4.8,2022-03-30,Cloudy,0,Drinks ,motorcycle,0,0,Metropolitian,16,1.5545816630911855,0,15.0
36,4.9,2022-03-02,Cloudy,1,Drinks ,motorcycle,1,0,Urban,42,12.074047498027575,0,10.0
20,4.9,2022-03-20,Sandstorms,0,Meal ,motorcycle,1,0,Metropolitian,17,13.580373876280879,1,10.0
24,4.6,2022-04-03,Cloudy,3,Drinks ,motorcycle,0,0,Metropolitian,25,4.469620875558295,1,15.0
29,4.7,2022-04-02,NaN,0,Snack ,electric_scooter,0,0,Metropolitian,25,16.659838319169715,1,9.978688077714173
39,4.2,2022-03-29,Fog,1,Snack ,scooter,0,0,Metropolitian,39,16.63487011821184,0,5.0
37,4.8,2022-03-17,Sunny,2,Meal ,scooter,0,0,Metropolitian,18,6.232139486668102,0,10.0
32,4.9,2022-03-17,Sandstorms,1,Drinks ,motorcycle,1,0,Metropolitian,28,6.209021101535612,0,10.0
22,4.5,2022-02-15,Sandstorms,0,Drinks ,scooter,1,0,Metropolitian,18,7.460830127736633,0,15.0
23,4.9,2022-03-18,Windy,0,Meal ,scooter,0,0,Metropolitian,18,20.253785359470783,0,15.0
33,4.7,2022-03-08,Fog,3,Snack ,scooter,1,0,Metropolitian,49,16.600975700594585,0,10.0
23,4.7,2022-02-17,Sunny,0,Drinks ,motorcycle,0,0,Metropolitian,15,4.540321372891478,0,10.0
27,4.6,2022-03-31,Sunny,0,Drinks ,motorcycle,1,0,Metropolitian,21,12.421212735966002,0,5.0
34,4.7,2022-03-01,Sunny,2,Snack ,scooter,0,0,Metropolitian,23,6.1187118466897275,0,15.0
26,5.0,2022-04-03,Fog,0,Meal ,scooter,1,0,Urban,11,1.520431947999248,1,10.0
31,4.6,2022-03-24,Cloudy,3,Snack ,motorcycle,0,0,Metropolitian,25,9.087972744661085,0,15.0
32,4.9,2022-03-07,Fog,0,Snack ,motorcycle,0,0,Metropolitian,18,3.0644871057616703,0,5.0
27,4.7,2022-03-09,Cloudy,0,Buffet ,motorcycle,0,0,Metropolitian,14,3.025144329113595,0,5.0
21,4.9,2022-03-12,Windy,1,Drinks ,motorcycle,2,0,Metropolitian,36,13.973206773137713,1,15.0
28,4.8,2022-03-24,Fog,0,Drinks ,motorcycle,1,0,Metropolitian,18,7.763102784727143,0,5.0
33,4.4,2022-03-05,Sandstorms,0,Snack ,motorcycle,1,0,Metropolitian,28,1.5368503798521727,1,10.0
20,4.6,2022-03-18,Fog,3,Buffet ,motorcycle,0,1,Metropolitian,44,13.97317756157655,0,15.0
31,4.3,2022-03-13,Windy,0,Snack ,motorcycle,1,0,Metropolitian,20,9.348403522662325,1,15.0
29,4.7,2022-03-09,Stormy,0,Snack ,scooter,0,0,Metropolitian,19,4.596576884051942,0,9.978688077714173
36,5.0,2022-03-31,Fog,3,Snack ,motorcycle,1,0,Metropolitian,35,10.602467987619507,0,10.0
31,4.2,2022-03-23,Sandstorms,3,Meal ,motorcycle,1,0,Metropolitian,50,17.076258901183188,0,10.0
39,4.1,2022-03-24,Stormy,3,Meal ,scooter,1,0,Metropolitian,34,9.22083460710881,0,5.0
29,4.6,2022-03-12,Sunny,3,Meal ,electric_scooter,1,0,Metropolitian,17,12.161605446010208,1,15.0
29,4.6,2022-03-03,Sandstorms,2,Snack ,scooter,0,0,Urban,23,6.080882967594327,0,10.0
37,4.9,2022-03-09,Fog,1,Buffet ,motorcycle,1,0,Metropolitian,27,4.674143698976439,0,10.0
31,3.9,2022-03-18,Cloudy,0,Buffet ,scooter,1,0,Metropolitian,35,10.709003371535417,0,10.0
26,4.4,2022-03-07,Sandstorms,0,Buffet ,motorcycle,0,0,Metropolitian,23,9.31488473286169,0,10.0
24,4.6,2022-03-04,Stormy,1,Snack ,motorcycle,0,0,Metropolitian,30,17.137482577838597,0,10.0
39,4.8,2022-04-01,Cloudy,2,Snack ,motorcycle,1,0,Metropolitian,28,6.21800234869445,0,15.0
20,4.7,2022-03-20,Sandstorms,1,Drinks ,motorcycle,1,0,Metropolitian,24,12.463883024166657,1,10.0
20,5.0,2022-03-31,Cloudy,3,Meal ,motorcycle,1,0,Urban,36,20.206581510507974,0,15.0
29,4.3,2022-02-13,Sandstorms,0,Buffet ,motorcycle,0,0,Metropolitian,28,9.081116432461174,1,5.0
36,4.8,2022-03-29,Fog,1,Drinks ,motorcycle,1,0,Urban,31,17.138077427627863,0,5.0
36,4.0,2022-03-16,Sunny,3,Meal ,motorcycle,3,0,Metropolitian,44,13.631343698142908,0,5.0
22,4.8,2022-03-14,Windy,0,Drinks ,scooter,1,0,Metropolitian,15,12.074063090452917,0,15.0
38,4.4,2022-03-31,Windy,1,Buffet ,motorcycle,1,0,Metropolitian,33,10.723264172167632,0,5.0
39,4.9,2022-03-17,Fog,3,Buffet ,motorcycle,0,0,Metropolitian,30,7.600994631258686,0,15.0
24,4.9,2022-03-28,Stormy,1,Snack ,scooter,1,0,Metropolitian,22,7.562982485200133,0,10.0
35,4.8,2022-03-04,Fog,1,Meal ,motorcycle,3,0,Metropolitian,48,13.829314445199353,0,10.0
33,4.5,2022-03-04,Stormy,0,Drinks ,electric_scooter,1,0,Metropolitian,19,13.969116967730173,0,15.0
39,4.7,2022-02-14,Windy,1,Snack ,motorcycle,1,0,Urban,21,10.92326745824626,0,5.0
31,4.3,2022-03-25,Windy,3,Drinks ,motorcycle,0,0,Metropolitian,44,12.117036432265502,0,10.0
37,4.5,2022-03-17,Windy,0,Drinks ,scooter,0,0,Metropolitian,26,1.5525704156536744,0,15.0
37,4.7,2022-04-01,Windy,0,Buffet ,scooter,1,0,Metropolitian,26,4.663566689152146,0,5.0
33,5.0,2022-03-19,Windy,2,Meal ,motorcycle,1,0,Metropolitian,31,1.5294972211332267,1,5.0
33,4.5,2022-03-02,Sunny,3,Snack ,scooter,0,0,Metropolitian,18,11.916757259074618,0,5.0
39,4.7,2022-02-16,Fog,1,Meal ,motorcycle,1,0,Metropolitian,38,10.486117701549256,0,15.0
37,4.6,2022-03-29,Cloudy,1,Snack ,motorcycle,1,0,Metropolitian,32,13.583078662317007,0,10.0
25,4.9,2022-03-07,Sandstorms,0,Meal ,scooter,1,0,Metropolitian,17,7.6831914051315,0,5.0
28,4.8,2022-03-03,Fog,1,Buffet ,scooter,1,0,Urban,11,9.193093962702912,0,5.0
38,4.7,2022-03-30,Windy,2,Buffet ,motorcycle,1,0,Metropolitian,31,6.217883647558105,0,10.0
29,4.7,2022-03-12,Sandstorms,1,Drinks ,motorcycle,0,0,Metropolitian,43,10.427235657896496,1,9.978688077714173
31,4.6,2022-03-19,Windy,1,Meal ,motorcycle,0,0,Metropolitian,25,9.326872529115304,1,10.0
25,4.8,2022-03-15,Cloudy,3,Snack ,motorcycle,1,0,Metropolitian,22,9.179538450826046,0,15.0
35,4.9,2022-03-02,Fog,3,Drinks ,motorcycle,3,0,Metropolitian,43,10.880651848535559,0,5.0
39,4.7,2022-03-31,Fog,3,Buffet ,motorcycle,1,1,Metropolitian,42,10.565262855251524,0,10.0
38,3.9,2022-03-06,Stormy,3,Meal ,motorcycle,0,0,Metropolitian,42,12.100062421152574,1,10.0
35,4.7,2022-03-21,Fog,3,Drinks ,motorcycle,1,0,Metropolitian,34,4.657159718107683,0,10.0
29,4.7,2022-03-01,Sandstorms,0,Snack ,motorcycle,1,0,Metropolitian,17,2.981217855191797,0,15.0
27,4.6,2022-03-24,Stormy,3,Snack ,scooter,0,0,Metropolitian,25,4.56126563284071,0,5.0
38,4.3,2022-04-04,Sandstorms,3,Meal ,motorcycle,1,1,Semi-Urban,54,13.989916877275611,0,10.0
36,4.9,2022-03-02,Windy,0,Buffet ,motorcycle,0,0,Metropolitian,21,10.64228895373868,0,15.0
26,4.0,2022-04-01,Cloudy,2,Buffet ,motorcycle,1,0,Metropolitian,34,6.147404652636644,0,10.0
26,4.1,2022-02-12,Fog,3,Meal ,motorcycle,1,0,Metropolitian,36,13.428477357470895,1,5.0
36,4.9,2022-04-05,Sunny,1,Drinks ,motorcycle,0,0,Metropolitian,17,9.32728515796102,0,10.0
21,4.7,2022-03-03,Sunny,0,Meal ,motorcycle,1,0,Metropolitian,16,1.489792976782627,0,10.0
35,4.7,2022-04-06,Sunny,3,Meal ,electric_scooter,1,0,Metropolitian,27,12.418394742110447,0,5.0
20,4.5,2022-03-17,Fog,2,Meal ,motorcycle,1,0,Metropolitian,26,6.217860689144307,0,5.0
23,4.6,2022-03-31,Fog,3,Snack ,motorcycle,2,1,Metropolitian,46,13.787803344501583,0,15.0
37,5.0,2022-02-17,Sunny,3,Buffet ,motorcycle,0,0,Metropolitian,29,9.080187058763226,0,10.0
26,4.8,2022-03-09,Sandstorms,3,Snack ,motorcycle,1,0,Metropolitian,23,9.31544163550089,0,5.0
29,5.0,2022-03-27,Sandstorms,0,Snack ,scooter,1,0,Urban,11,12.161417162421785,1,15.0
26,4.9,2022-03-25,Stormy,1,Snack ,motorcycle,0,0,Metropolitian,28,16.636875038860897,0,15.0
29,4.8,2022-03-11,Cloudy,3,Meal ,motorcycle,1,0,Metropolitian,25,9.192951167083441,0,5.0
29,4.7,2022-03-03,Sandstorms,0,Snack ,motorcycle,0,0,Metropolitian,11,3.0182264849996012,0,15.0
21,4.9,2022-02-15,Windy,1,Meal ,scooter,1,0,Metropolitian,26,4.395420246829376,0,10.0
22,4.3,2022-03-07,Stormy,0,Meal ,motorcycle,1,0,Metropolitian,23,3.109059104393369,0,15.0
31,4.0,2022-03-18,Fog,1,Snack ,motorcycle,2,0,Metropolitian,39,11.916582838288104,0,15.0
20,4.5,2022-04-03,Fog,0,Snack ,motorcycle,0,0,Metropolitian,11,3.1162485097900614,1,10.0
30,3.9,2022-04-06,Stormy,3,Drinks ,electric_scooter,1,0,Metropolitian,32,12.116950608888414,0,15.0
36,4.8,2022-03-06,Fog,1,Snack ,motorcycle,1,0,Metropolitian,43,10.868263117988388,1,15.0
24,4.7,2022-03-19,Fog,1,Buffet ,scooter,1,0,Metropolitian,13,6.218153086065015,1,10.0
32,4.7,2022-03-21,Windy,0,Buffet ,electric_scooter,0,0,Metropolitian,25,1.554424975889475,0,10.0
25,5.0,2022-03-19,Windy,1,Drinks ,motorcycle,0,0,Metropolitian,27,9.313017158714828,1,5.0
27,4.5,2022-03-28,Windy,1,Drinks ,scooter,1,0,Metropolitian,29,6.147106622705506,0,15.0
32,4.1,2022-03-29,Sandstorms,1,Buffet ,motorcycle,1,0,Metropolitian,33,10.867300462045835,0,15.0
23,4.7,2022-03-17,Fog,1,Drinks ,motorcycle,1,0,Urban,19,6.209259882041872,0,5.0
39,4.4,2022-03-29,Sunny,1,Meal ,motorcycle,1,0,Metropolitian,33,20.18085916835158,0,5.0
20,4.8,2022-03-04,Windy,1,Drinks ,electric_scooter,0,0,Metropolitian,15,11.919755989352295,0,10.0
29,4.6,2022-02-15,Stormy,3,Meal ,scooter,1,0,Metropolitian,29,4.494291162003504,0,15.0
26,4.9,2022-03-29,Stormy,0,Meal ,scooter,1,0,Metropolitian,18,20.85172635753384,0,5.0
25,5.0,2022-02-13,Stormy,0,Meal ,motorcycle,1,0,Metropolitian,14,1.5605734793807475,1,5.0
34,4.7,2022-04-03,Windy,1,Snack ,motorcycle,1,0,Metropolitian,30,6.2105896103141776,1,15.0
31,4.9,2022-02-13,Sunny,2,Snack ,motorcycle,0,0,Metropolitian,28,6.175283575308341,1,15.0
30,4.9,2022-04-02,Cloudy,1,Meal ,motorcycle,0,0,Metropolitian,30,13.830084721845328,1,15.0
36,4.8,2022-03-20,Sandstorms,1,Buffet ,motorcycle,1,0,Metropolitian,36,19.37374583495492,1,5.0
36,4.4,2022-03-29,Fog,0,Snack ,motorcycle,1,0,Metropolitian,37,20.857115324129595,0,15.0
26,4.7,2022-03-04,Cloudy,3,Meal ,motorcycle,1,0,Metropolitian,43,20.851557402660557,0,5.0
30,4.6,2022-03-27,Sunny,0,Buffet ,scooter,1,0,Metropolitian,29,16.659963190057415,1,10.0
33,4.7,2022-03-09,Fog,1,Buffet ,electric_scooter,1,0,Urban,15,7.76260023979039,0,15.0
34,4.0,2022-03-12,Windy,3,Snack ,motorcycle,2,0,Metropolitian,39,13.76685500858734,1,5.0
36,4.6,2022-04-04,Windy,0,Buffet ,motorcycle,1,0,Metropolitian,20,12.293677673573285,0,10.0
33,4.6,2022-02-11,Fog,0,Buffet ,motorcycle,1,0,Metropolitian,15,2.9846372692856606,0,10.0
22,4.8,2022-02-18,Sandstorms,0,Drinks ,motorcycle,1,0,Metropolitian,16,16.78827586251448,0,15.0
38,4.7,2022-03-19,Sunny,0,Drinks ,scooter,1,0,Metropolitian,19,1.5320227740641719,1,15.0
27,4.9,2022-03-02,Fog,0,Drinks ,scooter,0,0,Metropolitian,20,12.421407858787804,0,15.0
32,4.8,2022-02-14,Sunny,3,Meal ,scooter,1,0,Metropolitian,25,10.44477615516592,0,10.0
26,4.8,2022-03-27,Cloudy,3,Snack ,motorcycle,1,0,Metropolitian,43,12.420750050313671,1,10.0
29,4.5,2022-03-04,Windy,0,Drinks ,motorcycle,0,0,Urban,15,19.659373527443684,0,10.0
31,4.5,2022-04-06,Sunny,3,Buffet ,motorcycle,0,0,Urban,29,12.46418980459368,0,15.0
28,4.6,2022-03-26,Stormy,2,Drinks ,motorcycle,0,0,Metropolitian,14,6.146243658393431,1,15.0
21,4.8,2022-02-11,Sunny,1,Buffet ,motorcycle,1,0,Metropolitian,11,8.92908688893574,0,5.0
21,4.0,2022-03-28,Sandstorms,0,Buffet ,motorcycle,1,0,Metropolitian,19,7.79036212453358,0,5.0
29,4.7,2022-02-11,Cloudy,1,Buffet ,motorcycle,1,0,Urban,11,5.992096714696517,0,5.0
20,4.8,2022-03-28,Sunny,2,Snack ,motorcycle,0,0,Metropolitian,14,1.5297232853100242,0,10.0
28,5.0,2022-02-16,Windy,0,Snack ,motorcycle,0,0,Urban,15,13.73594217639692,0,10.0
25,4.7,2022-03-16,Sandstorms,0,Meal ,motorcycle,1,0,Metropolitian,16,10.705559922396555,0,10.0
29,4.7,2022-03-08,NaN,0,Buffet ,motorcycle,1,1,Urban,43,16.85256546543028,0,9.978688077714173
38,4.8,2022-03-28,Stormy,0,Buffet ,motorcycle,1,0,Metropolitian,20,3.1048037532854496,0,5.0
39,4.9,2022-03-03,Stormy,0,Drinks ,motorcycle,1,0,Metropolitian,26,4.610073053799191,0,10.0
26,4.9,2022-03-13,Windy,1,Snack ,scooter,0,0,Metropolitian,26,9.122100805601145,1,5.0
33,4.4,2022-03-14,Windy,3,Meal ,motorcycle,0,0,Urban,43,10.906036622245482,0,15.0
24,4.6,2022-03-01,Sandstorms,1,Snack ,motorcycle,1,0,Urban,25,9.088013799330469,0,10.0
24,4.9,2022-03-21,Fog,1,Buffet ,motorcycle,1,0,Metropolitian,28,6.232303380306801,0,10.0
33,4.5,2022-03-10,Stormy,0,Buffet ,scooter,0,0,Metropolitian,17,13.611566722125085,0,15.0
35,4.2,2022-03-20,Windy,3,Drinks ,motorcycle,1,0,Metropolitian,44,13.611428630407849,1,10.0
27,4.2,2022-04-06,Stormy,3,Buffet ,motorcycle,1,0,Metropolitian,33,13.763896210757977,0,5.0
